Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
6.763	1.78e-10	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg00008629,cg00159243,cg00252813,cg00285394,cg00310412,cg00417304,cg01281718,cg01340312,cg01437204,cg01538305,cg01582947,cg01971407,cg02212836,cg02470690,cg02711608,cg02716826,cg02810967,cg03038262,cg03180426,cg03224418,cg03240059,cg03314569,cg03671075,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06946797,cg07057831,cg07328519,cg07461772,cg07573985,cg07626482,cg07643930,cg07786657,cg07884764,cg07922154,cg08099136,cg08101174,cg08140114,cg08255475,cg08822075,cg08996521,cg09125127,cg09182189,cg09395195,cg09578353,cg10064322,cg10421247,cg10508317,cg10589813,cg11660018,cg11927233,cg12138695,cg12170787,cg12269535,cg12303084,cg12516875,cg12616487,cg13823169,cg14237301,cg14576319,cg14901243,cg14977069,cg15212369,cg16037711,cg16049283,cg16552271,cg17333042,cg17803993,cg17840178,cg17848515,cg18302606,cg18468088,cg19266329,cg19631472,cg19693031,cg21140898,cg21429551,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22881435,cg23635560,cg23842572,cg24707889,cg24807889,cg24916358,cg25165199,cg25325512,cg25371036,cg25953130,cg26276120,cg26352795,cg26470501,cg26636312,cg26841068,cg26905258,cg27425327	E046	5.08e-09
-2.520	9.97e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00310412,cg00451635,cg00569896,cg00594191,cg00921350,cg01281718,cg01538305,cg01940273,cg02025971,cg02212836,cg03240059,cg03562120,cg04608933,cg05575921,cg06484123,cg06690548,cg07336872,cg07461772,cg07960624,cg10064322,cg10589813,cg11597157,cg12596182,cg13693517,cg14480266,cg15415259,cg17333042,cg17803993,cg17944885,cg18070593,cg18103548,cg18363008,cg18901355,cg19693031,cg19940644,cg22708738,cg22749855,cg23635560,cg24263283,cg24296397,cg26636312,cg27241845	E046	1.00e+00
-1.732	9.71e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg00277397,cg00451635,cg00594191,cg01431184,cg01940273,cg02025971,cg02628680,cg03149958,cg03180426,cg03240059,cg03314569,cg03562120,cg03671075,cg04096767,cg04608933,cg04610187,cg04873098,cg05575921,cg06298346,cg06946797,cg07336872,cg07589968,cg07922154,cg08666707,cg08820801,cg08822075,cg11660018,cg12138695,cg12596182,cg12765567,cg14476101,cg15415259,cg15871086,cg16201146,cg16736826,cg17333042,cg18103548,cg18363008,cg18394552,cg19459791,cg19653417,cg19940644,cg21099148,cg21140898,cg22579075,cg22749855,cg22959742,cg23534245,cg23635560,cg24437104,cg24807889,cg25371036,cg25875537,cg26352795,cg27111756,cg27115863,cg27241845	E046	1.00e+00
1.188	1.52e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00159243,cg00252813,cg00921350,cg01127300,cg01212284,cg02297838,cg02402368,cg02583484,cg02609551,cg02711608,cg02810967,cg03038262,cg03370752,cg04597545,cg04772644,cg05007163,cg05135521,cg05209483,cg05673882,cg07328519,cg07573872,cg07626482,cg07643930,cg07960624,cg08250921,cg08822075,cg09046979,cg09191173,cg09395195,cg10064322,cg11095027,cg11491284,cg11597157,cg12269535,cg12394289,cg12559228,cg12616487,cg14994947,cg16433462,cg17953136,cg18070593,cg18651578,cg19004565,cg19259111,cg19266329,cg19693031,cg20595453,cg20732787,cg22042546,cg22749855,cg22881435,cg23372422,cg23437216,cg23842572,cg24437104,cg24694018,cg25325512,cg26470501	E046	1.00e+00
11.482	1.37e-37	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00008629,cg00116430,cg00130530,cg00159243,cg00252813,cg00277397,cg00285394,cg00310412,cg00417304,cg00451635,cg00548098,cg00569896,cg00594191,cg00921350,cg01015663,cg01127300,cg01212284,cg01281718,cg01340312,cg01437204,cg01538305,cg01582947,cg01649611,cg01940273,cg01971407,cg02003183,cg02025971,cg02212836,cg02297838,cg02402368,cg02470690,cg02583484,cg02609551,cg02628680,cg02711608,cg02716826,cg02810967,cg03038262,cg03149958,cg03180426,cg03224418,cg03240059,cg03314569,cg03562120,cg03636183,cg03671075,cg03725309,cg03929796,cg03935116,cg04080291,cg04096767,cg04389058,cg04424621,cg04597545,cg04608933,cg04610187,cg04772644,cg04873098,cg04881228,cg04973995,cg05007163,cg05135521,cg05209483,cg05237436,cg05492306,cg05557932,cg05575921,cg05637113,cg05673882,cg06285727,cg06298346,cg06690548,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573872,cg07573985,cg07589968,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg07922154,cg07960624,cg08099136,cg08101174,cg08138505,cg08140114,cg08255475,cg08324925,cg08666707,cg08820801,cg08822075,cg08893087,cg08996521,cg09046979,cg09125127,cg09182189,cg09191173,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10589813,cg10917602,cg11660018,cg11927233,cg12126344,cg12138695,cg12170787,cg12269535,cg12303084,cg12516875,cg12559228,cg12596182,cg12616487,cg13518625,cg13645530,cg13693517,cg13823169,cg14237301,cg14476101,cg14480266,cg14576319,cg14580211,cg14849578,cg14901243,cg14975410,cg14977069,cg15212369,cg15789723,cg15871086,cg16037711,cg16049283,cg16433462,cg16552271,cg16708465,cg16903811,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18103548,cg18302606,cg18363008,cg18394552,cg18468088,cg18651578,cg18879828,cg19004565,cg19266329,cg19459791,cg19589396,cg19631472,cg19653417,cg19693031,cg19935065,cg19940644,cg20357806,cg20595453,cg20732787,cg21099148,cg21140898,cg21325715,cg21393163,cg21429551,cg21550372,cg21815220,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22749855,cg22881435,cg23534245,cg23635560,cg23683800,cg23842572,cg24160243,cg24263283,cg24296397,cg24437104,cg24694018,cg24698211,cg24707889,cg24807889,cg24859433,cg24916358,cg25165199,cg25292309,cg25325512,cg25362050,cg25371036,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg26905258,cg27111756,cg27115863,cg27178677,cg27241845,cg27425327	E050	7.84e-35
8.547	1.80e-16	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00277397,cg00285394,cg00310412,cg00417304,cg00548098,cg00569896,cg00594191,cg00921350,cg01015663,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg01582947,cg01940273,cg01971407,cg02297838,cg02402368,cg02470690,cg02583484,cg02711608,cg02716826,cg02810967,cg03038262,cg03180426,cg03224418,cg03240059,cg03314569,cg03636183,cg03725309,cg03929796,cg03935116,cg04080291,cg04096767,cg04389058,cg04424621,cg04597545,cg04608933,cg04610187,cg04772644,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05575921,cg05673882,cg06285727,cg06298346,cg06690548,cg06762457,cg06826457,cg06946797,cg07057831,cg07328519,cg07461772,cg07573872,cg07573985,cg07589968,cg07626482,cg07643930,cg07786657,cg07884764,cg07922154,cg07960624,cg08099136,cg08101174,cg08255475,cg08822075,cg08996521,cg09125127,cg09182189,cg09191173,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10589813,cg10917602,cg11660018,cg11927233,cg12126344,cg12170787,cg12269535,cg12303084,cg12516875,cg12596182,cg12616487,cg13518625,cg13645530,cg13823169,cg14237301,cg14476101,cg14576319,cg14580211,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18302606,cg18468088,cg18651578,cg19266329,cg19589396,cg19631472,cg19693031,cg19935065,cg20595453,cg21140898,cg21429551,cg21815220,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22749855,cg22881435,cg23635560,cg24263283,cg24296397,cg24437104,cg24694018,cg24698211,cg24707889,cg24807889,cg24916358,cg25165199,cg25292309,cg25325512,cg25362050,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg26905258,cg27178677,cg27425327	E050	8.91e-15
-4.862	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg00569896,cg01281718,cg06484123,cg07711192,cg08140114,cg08250921,cg14994947,cg15871086,cg17944885,cg20357806	E050	1.00e+00
-4.238	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg00310412,cg00417304,cg00451635,cg01431184,cg01940273,cg02025971,cg02716826,cg03038262,cg03149958,cg03180426,cg03240059,cg03725309,cg04096767,cg04873098,cg04881228,cg07057831,cg07336872,cg07589968,cg07786657,cg08324925,cg08666707,cg08820801,cg08822075,cg11660018,cg12559228,cg12765567,cg14476101,cg15415259,cg15789723,cg15871086,cg16201146,cg16321846,cg16736826,cg17333042,cg17840178,cg18103548,cg18363008,cg19653417,cg20592734,cg21099148,cg21140898,cg21550372,cg22749855,cg22959742,cg23534245,cg23635560,cg24160243,cg25371036,cg25875537,cg26352795,cg27111756,cg27115863	E050	1.00e+00
-0.039	5.44e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg01127300,cg01212284,cg02003183,cg02297838,cg02583484,cg02711608,cg03038262,cg03370752,cg04597545,cg04772644,cg05007163,cg05209483,cg05637113,cg05673882,cg07573872,cg07626482,cg07960624,cg08138505,cg08140114,cg08250921,cg09191173,cg09395195,cg10508317,cg10589813,cg10917602,cg11095027,cg11491284,cg11597157,cg12269535,cg12394289,cg12559228,cg14380013,cg14580211,cg14849578,cg14901243,cg14977069,cg14994947,cg16433462,cg17944885,cg17953136,cg18651578,cg19004565,cg19259111,cg19693031,cg20595453,cg20732787,cg22749855,cg22805381,cg22881435,cg23372422,cg23437216,cg23842572,cg24437104,cg24694018,cg25325512,cg26276120,cg26804423	E050	1.00e+00
12.416	1.28e-39	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg00008629,cg00116430,cg00130530,cg00159243,cg00252813,cg00277397,cg00285394,cg00310412,cg00417304,cg00451635,cg00548098,cg00569896,cg00594191,cg00921350,cg01015663,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg01582947,cg01649611,cg01940273,cg01971407,cg02003183,cg02025971,cg02212836,cg02297838,cg02402368,cg02470690,cg02583484,cg02609551,cg02711608,cg02716826,cg02810967,cg03038262,cg03149958,cg03180426,cg03224418,cg03240059,cg03314569,cg03562120,cg03636183,cg03671075,cg03725309,cg03929796,cg03935116,cg04080291,cg04096767,cg04389058,cg04424621,cg04597545,cg04608933,cg04610187,cg04772644,cg04873098,cg04973995,cg05007163,cg05135521,cg05209483,cg05237436,cg05492306,cg05557932,cg05575921,cg05637113,cg05673882,cg06285727,cg06298346,cg06690548,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573872,cg07573985,cg07589968,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg07922154,cg07960624,cg08099136,cg08101174,cg08138505,cg08140114,cg08255475,cg08324925,cg08666707,cg08820801,cg08822075,cg08893087,cg08996521,cg09125127,cg09182189,cg09191173,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10589813,cg10917602,cg11660018,cg11927233,cg12126344,cg12138695,cg12170787,cg12269535,cg12303084,cg12516875,cg12559228,cg12596182,cg12616487,cg13518625,cg13645530,cg13823169,cg14237301,cg14476101,cg14480266,cg14576319,cg14580211,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg15871086,cg16037711,cg16049283,cg16552271,cg16708465,cg16903811,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18070593,cg18103548,cg18302606,cg18363008,cg18394552,cg18468088,cg18651578,cg19004565,cg19266329,cg19459791,cg19589396,cg19631472,cg19653417,cg19693031,cg19935065,cg19940644,cg20357806,cg20595453,cg21099148,cg21140898,cg21393163,cg21429551,cg21550372,cg21815220,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22749855,cg22881435,cg23635560,cg23683800,cg23842572,cg24160243,cg24263283,cg24296397,cg24437104,cg24694018,cg24698211,cg24707889,cg24807889,cg24859433,cg24916358,cg25165199,cg25292309,cg25325512,cg25362050,cg25371036,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26804423,cg26841068,cg26905258,cg27111756,cg27115863,cg27178677,cg27241845,cg27425327	E051	1.46e-36
10.522	4.56e-23	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E051-H3K4me3.broadPeak.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00277397,cg00285394,cg00310412,cg00417304,cg00548098,cg00594191,cg00921350,cg01212284,cg01281718,cg01340312,cg01437204,cg01538305,cg01582947,cg01940273,cg01971407,cg02003183,cg02212836,cg02297838,cg02402368,cg02470690,cg02583484,cg02609551,cg02711608,cg02716826,cg02810967,cg03038262,cg03180426,cg03224418,cg03240059,cg03314569,cg03725309,cg03929796,cg03935116,cg04080291,cg04096767,cg04389058,cg04424621,cg04597545,cg04608933,cg04610187,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05575921,cg05673882,cg06285727,cg06298346,cg06690548,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07461772,cg07573985,cg07589968,cg07626482,cg07643930,cg07786657,cg07884764,cg07922154,cg07960624,cg08099136,cg08101174,cg08138505,cg08255475,cg08822075,cg08996521,cg09125127,cg09182189,cg09191173,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10589813,cg10917602,cg11660018,cg11927233,cg12126344,cg12138695,cg12170787,cg12269535,cg12303084,cg12516875,cg12559228,cg12596182,cg12616487,cg13518625,cg13645530,cg13823169,cg14237301,cg14476101,cg14480266,cg14576319,cg14580211,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18302606,cg18394552,cg18468088,cg19266329,cg19589396,cg19631472,cg19653417,cg19693031,cg19935065,cg20357806,cg21140898,cg21393163,cg21429551,cg21815220,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22749855,cg22881435,cg23635560,cg24263283,cg24437104,cg24694018,cg24698211,cg24707889,cg24807889,cg24859433,cg24916358,cg25165199,cg25292309,cg25325512,cg25362050,cg25371036,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg26905258,cg27111756,cg27178677,cg27241845,cg27425327	E051	4.73e-21
-4.238	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg01940273,cg04096767,cg07711192,cg10508317,cg17944885,cg24160243	E051	1.00e+00
-4.345	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E051-H3K27me3.broadPeak.gz	cg00310412,cg00451635,cg01940273,cg03240059,cg03725309,cg04096767,cg04873098,cg04881228,cg07336872,cg07589968,cg07922154,cg08324925,cg08820801,cg09452027,cg11660018,cg12559228,cg15415259,cg15789723,cg16321846,cg16736826,cg17333042,cg18103548,cg18363008,cg19653417,cg21099148,cg21140898,cg23534245,cg24160243,cg24698211,cg25875537,cg26352795,cg27111756	E051	1.00e+00
-0.253	6.23e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg01212284,cg01649611,cg02003183,cg02297838,cg02583484,cg03038262,cg03370752,cg04597545,cg04772644,cg05007163,cg05135521,cg05637113,cg06484123,cg07573872,cg08099136,cg08138505,cg08250921,cg09191173,cg09395195,cg10064322,cg10508317,cg10589813,cg11095027,cg11491284,cg11597157,cg11927233,cg12269535,cg12394289,cg12559228,cg14380013,cg14580211,cg14849578,cg14901243,cg14977069,cg14994947,cg16433462,cg17944885,cg17953136,cg18651578,cg19004565,cg19259111,cg19266329,cg19693031,cg20595453,cg20732787,cg21099148,cg22749855,cg22881435,cg23372422,cg23437216,cg23842572,cg24437104,cg24694018,cg25325512,cg26470501	E051	1.00e+00
8.963	2.10e-22	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg00008629,cg00116430,cg00130530,cg00159243,cg00252813,cg00277397,cg00285394,cg00310412,cg00417304,cg00451635,cg00548098,cg00594191,cg00921350,cg01015663,cg01127300,cg01212284,cg01281718,cg01340312,cg01431184,cg01538305,cg01582947,cg01649611,cg01940273,cg01971407,cg02003183,cg02025971,cg02212836,cg02297838,cg02470690,cg02583484,cg02628680,cg02711608,cg02716826,cg02810967,cg03038262,cg03149958,cg03180426,cg03224418,cg03240059,cg03314569,cg03370752,cg03562120,cg03671075,cg03929796,cg03935116,cg04036920,cg04080291,cg04096767,cg04389058,cg04424621,cg04597545,cg04608933,cg04772644,cg04881228,cg04973995,cg05007163,cg05135521,cg05209483,cg05237436,cg05492306,cg05557932,cg05637113,cg05673882,cg06285727,cg06298346,cg06484123,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07643930,cg07711192,cg07922154,cg07960624,cg08099136,cg08101174,cg08138505,cg08140114,cg08255475,cg08324925,cg08666707,cg08820801,cg08822075,cg08893087,cg08996521,cg09046979,cg09125127,cg09182189,cg09191173,cg09395195,cg09578353,cg10421247,cg10508317,cg10589813,cg10917602,cg11660018,cg11927233,cg12138695,cg12170787,cg12269535,cg12303084,cg12516875,cg12596182,cg12616487,cg12800915,cg13150925,cg13518625,cg13645530,cg13693517,cg13823169,cg14237301,cg14380013,cg14476101,cg14576319,cg14580211,cg14901243,cg14975410,cg15212369,cg15415259,cg15789723,cg15871086,cg16037711,cg16049283,cg16433462,cg16708465,cg16736826,cg16903811,cg17333042,cg17840178,cg17848515,cg17971578,cg18070593,cg18468088,cg18651578,cg18879828,cg18901355,cg19004565,cg19259111,cg19266329,cg19589396,cg19631472,cg19653417,cg19693031,cg19940644,cg20357806,cg20595453,cg21099148,cg21140898,cg21325715,cg21393163,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22749855,cg22805381,cg22959742,cg23372422,cg23534245,cg23635560,cg23683800,cg24263283,cg24296397,cg24437104,cg24694018,cg24698211,cg24859433,cg24916358,cg25165199,cg25292309,cg25362050,cg25371036,cg25875537,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26804423,cg26841068,cg26905258,cg27111756,cg27115863,cg27178677,cg27241845	E028	1.84e-20
4.244	1.53e-05	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me3	E028-H3K4me3.broadPeak.gz	cg00008629,cg00252813,cg00277397,cg00285394,cg00310412,cg00451635,cg00548098,cg01015663,cg01127300,cg01212284,cg01340312,cg01538305,cg01582947,cg02297838,cg02470690,cg02583484,cg02711608,cg02716826,cg02810967,cg03149958,cg03180426,cg03224418,cg03240059,cg03314569,cg03562120,cg03725309,cg03929796,cg03935116,cg04080291,cg04096767,cg04389058,cg04424621,cg04597545,cg04610187,cg04873098,cg04881228,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06690548,cg06826457,cg07057831,cg07328519,cg07336872,cg07461772,cg07573872,cg07573985,cg07589968,cg07626482,cg07643930,cg07884764,cg07922154,cg07960624,cg08099136,cg08255475,cg08666707,cg08820801,cg08996521,cg09182189,cg09395195,cg09452027,cg09578353,cg10421247,cg10508317,cg10589813,cg10917602,cg11095027,cg11660018,cg11927233,cg12170787,cg12269535,cg12303084,cg12516875,cg12596182,cg12616487,cg13150925,cg13518625,cg13645530,cg13823169,cg14237301,cg14476101,cg14480266,cg14576319,cg14580211,cg14901243,cg14975410,cg14994947,cg15212369,cg15415259,cg15871086,cg16037711,cg16552271,cg16708465,cg16903811,cg17333042,cg17840178,cg17848515,cg17944885,cg17971578,cg18103548,cg18302606,cg18468088,cg18651578,cg19266329,cg19589396,cg19631472,cg19653417,cg19693031,cg21099148,cg21325715,cg21429551,cg21990700,cg22042546,cg22407942,cg22708738,cg22749855,cg22959742,cg23534245,cg24859433,cg24916358,cg25165199,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg27425327	E028	2.57e-04
-3.752	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg00285394,cg00569896,cg06484123,cg07711192,cg09191173,cg17944885,cg21140898,cg27178677	E028	1.00e+00
-3.046	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K27me3	E028-H3K27me3.broadPeak.gz	cg00116430,cg00159243,cg00277397,cg00285394,cg00417304,cg00594191,cg00921350,cg01127300,cg01437204,cg01940273,cg01971407,cg02003183,cg02212836,cg02628680,cg03038262,cg03180426,cg03224418,cg03240059,cg03562120,cg03636183,cg03671075,cg04096767,cg04424621,cg04433322,cg04597545,cg04608933,cg04610187,cg04873098,cg05575921,cg06298346,cg06762457,cg07328519,cg07336872,cg07461772,cg07589968,cg07786657,cg07884764,cg08250921,cg08255475,cg08324925,cg08666707,cg09046979,cg09125127,cg09452027,cg10508317,cg10917602,cg11095027,cg11660018,cg12126344,cg12170787,cg12616487,cg12765567,cg14901243,cg14977069,cg15212369,cg16049283,cg16201146,cg16321846,cg16552271,cg17333042,cg17848515,cg18103548,cg18363008,cg18468088,cg19653417,cg19935065,cg20592734,cg20732787,cg21099148,cg21815220,cg22749855,cg22959742,cg23450972,cg23635560,cg23683800,cg23842572,cg24160243,cg24296397,cg24437104,cg24698211,cg24707889,cg24807889,cg25875537,cg26841068,cg27111756,cg27241845	E028	1.00e+00
0.423	3.71e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00116430,cg00569896,cg01212284,cg02003183,cg02297838,cg02402368,cg02583484,cg02609551,cg02711608,cg03370752,cg04036920,cg04597545,cg04772644,cg05007163,cg05135521,cg05637113,cg06484123,cg07960624,cg09191173,cg11095027,cg11491284,cg11597157,cg11927233,cg12559228,cg12800915,cg13693517,cg14849578,cg14994947,cg15871086,cg16433462,cg16552271,cg17953136,cg18070593,cg19004565,cg19259111,cg19693031,cg20595453,cg21429551,cg22579075,cg22881435,cg23372422,cg23437216,cg23842572,cg25325512,cg26470501,cg26905258	E028	1.00e+00
